date,half,ticker,direction,close,ema9,ema21
2025-09-30,AM,MARA,UP,18.1800,17.1888,17.1354
2025-10-23,AM,MARA,DOWN,19.4200,20.1234,20.1936
2025-12-05,AM,MARA,UP,12.4100,12.0450,12.0196
2025-12-09,AM,MARA,DOWN,11.8800,12.0155,12.0172
2025-12-10,AM,MARA,UP,12.1800,12.0299,12.0223
2025-12-11,AM,MARA,DOWN,11.6300,11.9739,11.9996
2026-01-07,AM,MARA,UP,10.2800,10.1068,10.0956
2026-01-08,PM,MARA,DOWN,9.9700,10.0874,10.0917
2026-01-09,AM,MARA,UP,10.4300,10.1559,10.1225
2026-01-23,PM,MARA,DOWN,10.2400,10.5170,10.5327
2026-02-25,PM,MARA,UP,8.3400,7.9498,7.9365
2026-03-09,AM,MARA,DOWN,7.9400,8.5489,8.5924
2026-03-13,AM,MARA,UP,8.9400,8.5984,8.5862
2025-02-03,PM,META,DOWN,673.2900,673.4900,673.5173
2025-02-04,AM,META,UP,698.2300,678.4380,675.7639
2025-02-21,AM,META,DOWN,696.3000,708.9495,709.7256
2025-03-26,AM,META,UP,625.1100,609.5071,607.8046
2025-03-28,PM,META,DOWN,596.6600,605.7821,606.9032
2025-04-25,PM,META,UP,545.2600,524.8083,523.3938
2025-07-16,AM,META,DOWN,711.4600,719.1922,719.3844
2025-07-25,PM,META,UP,716.3900,713.1152,712.8401
2025-07-30,PM,META,DOWN,704.3700,711.9666,712.7412
2025-07-31,AM,META,UP,777.5400,725.0813,718.6320
2025-08-20,AM,META,DOWN,747.6400,768.7099,768.9845
2025-09-08,AM,META,UP,753.8700,747.2530,747.0636
2025-09-25,AM,META,DOWN,755.5600,764.7446,765.2361
2025-10-21,AM,META,UP,734.6500,719.4394,719.0229
2025-10-30,PM,META,DOWN,674.2400,722.4264,727.7313
2025-11-26,PM,META,UP,633.2900,615.9896,613.7300
2025-12-16,PM,META,DOWN,643.7300,646.6673,646.9778
2025-12-17,AM,META,UP,658.4000,649.0139,648.0161
2026-01-05,AM,META,DOWN,647.8100,657.4993,658.6180
2026-01-24,AM,META,UP,658.0000,633.4666,632.0978
2026-02-06,PM,META,DOWN,668.3600,679.8467,680.5253
2026-03-04,PM,META,UP,658.0100,647.4475,647.2791
2026-03-09,AM,META,DOWN,636.2800,647.7191,648.4435
2026-03-11,PM,META,UP,651.7800,648.4630,648.2856
2026-03-13,AM,META,DOWN,630.4700,645.3874,646.9878
2025-02-03,PM,MSFT,UP,406.4300,405.7020,405.6027
2025-02-12,PM,MSFT,DOWN,403.8900,407.2748,407.3312
2025-02-20,AM,MSFT,UP,413.8200,407.3945,407.0196
2025-02-25,AM,MSFT,DOWN,398.7600,406.8203,407.4074
